Store	Date	foot_traffic	visitor	customer	Transaction	sale
Store 1	2016-02-22	17353	4133	953	108	102924
Store 1	2016-02-23	17829	3287	839	106	88934
Store 1	2016-02-24	15440	3212	669	138	92322
Store 1	2016-02-25	12667	2115	404	97	39188
Store 1	2016-02-26	14370	1846	315	118	37170
Store 1	2016-02-27	13424	2021	322	124	39928
Store 1	2016-02-28	15269	3459	672	78	52416
Store 1	2016-02-29	11983	2423	558	117	65286
Store 1	2016-03-01	17559	4225	836	96	80256
Store 1	2016-03-02	12327	1957	494	77	38038
Store 1	2016-03-03	13859	3390	825	103	84975
Store 1	2016-03-04	16598	2044	368	83	30544
Store 1	2016-03-05	13666	2230	286	102	29172
Store 1	2016-03-06	14837	1975	406	117	47502
Store 1	2016-03-07	18053	2683	401	98	39298
Store 1	2016-03-08	17731	2719	541	74	40034
Store 1	2016-03-09	15302	2345	642	105	67410
Store 1	2016-03-10	16250	2741	428	93	39804
Store 1	2016-03-11	15797	3479	809	70	56630
Store 1	2016-03-12	9530	1053	146	106	15476
Store 1	2016-03-13	18883	3578	956	130	124280
Store 1	2016-03-14	13443	2381	361	92	33212
Store 1	2016-03-15	15110	2150	346	104	35984
Store 1	2016-03-16	15451	1644	426	103	43878
Store 1	2016-03-17	18438	2618	382	87	33234
Store 1	2016-03-18	14328	3360	479	99	47421
Store 1	2016-03-19	19006	2003	337	78	26286
Store 1	2016-03-20	15212	3649	511	94	48034
Store 1	2016-03-21	15577	2089	297	114	33858
Store 1	2016-03-22	17077	2318	480	102	48960
Store 1	2016-03-23	16761	4183	590	111	65490
Store 1	2016-03-24	15053	3059	660	106	69960
Store 1	2016-03-25	13185	1905	287	80	22960
Store 1	2016-03-26	15819	3649	972	113	109836
Store 1	2016-03-27	12187	1381	275	109	29975
Store 1	2016-03-28	14109	1900	396	95	37620
Store 1	2016-03-29	14207	1864	300	98	29400
Store 1	2016-03-30	14096	2777	343	133	45619
Store 1	2016-03-31	15531	3030	630	91	57330
Store 1	2016-04-01	14903	2030	388	103	39964
Store 1	2016-04-02	16595	3667	538	105	56490
Store 1	2016-04-03	13954	2596	716	105	75180
Store 1	2016-04-04	16616	1679	360	80	28800
Store 1	2016-04-05	9876	2408	611	84	51324
Store 1	2016-04-06	14294	1485	272	100	27200
Store 1	2016-04-07	19261	4555	459	84	38556
Store 1	2016-04-08	17092	4100	433	110	47630
Store 1	2016-04-09	15674	3226	567	137	77679
Store 1	2016-04-10	15741	2876	590	77	45430
Store 1	2016-04-11	13857	1684	500	103	51500
Store 1	2016-04-12	17790	3088	686	108	74088
Store 1	2016-04-13	15379	2718	498	134	66732
Store 1	2016-04-14	14939	1728	480	98	47040
Store 1	2016-04-15	14648	2177	294	105	30870
Store 1	2016-04-16	16025	3577	395	103	40685
Store 1	2016-04-17	14397	1995	562	82	46084
Store 1	2016-04-18	13782	1825	406	99	40194
Store 1	2016-04-19	14477	1676	358	95	34010
Store 1	2016-04-20	12744	2578	272	115	31280
Store 1	2016-04-21	17261	2897	638	102	65076
Store 1	2016-04-22	17882	1873	537	100	53700
Store 1	2016-04-23	15811	1805	209	106	22154
Store 1	2016-04-24	13822	3333	387	113	43731
Store 1	2016-04-25	16724	3565	399	106	42294
Store 1	2016-04-26	16568	2140	455	101	45955
Store 1	2016-04-27	12267	2083	522	124	64728
Store 1	2016-04-28	16112	3088	869	75	65175
Store 1	2016-04-29	13211	1359	389	103	40067
Store 1	2016-04-30	14707	1711	190	132	25080
Store 1	2016-05-01	20483	3889	749	75	56175
Store 1	2016-05-02	14418	1866	209	112	23408
Store 1	2016-05-03	14536	3283	728	75	54600
Store 1	2016-05-04	15096	1998	498	67	33366
Store 1	2016-05-05	12981	2143	321	82	26322
Store 1	2016-05-06	17607	3504	943	97	91471
Store 1	2016-05-07	13294	1677	282	106	29892
Store 1	2016-05-08	14914	3411	450	117	52650
Store 1	2016-05-09	14239	2661	600	101	60600
Store 1	2016-05-10	14417	1446	358	97	34726
Store 1	2016-05-11	14570	1690	320	125	40000
Store 1	2016-05-12	16658	3037	352	111	39072
Store 1	2016-05-13	15606	2144	367	80	29360
Store 1	2016-05-14	15332	3741	881	105	92505
Store 1	2016-05-15	15062	2982	526	102	53652
Store 1	2016-05-16	16823	2299	357	127	45339
Store 1	2016-05-17	18466	4464	1336	113	150968
Store 1	2016-05-18	14940	3643	922	84	77448
Store 1	2016-05-19	15300	2553	434	97	42098
Store 1	2016-05-20	18076	4473	1101	116	127716
Store 1	2016-05-21	15895	3797	815	111	90465
Store 1	2016-05-22	12658	3116	503	72	36216
Store 1	2016-05-23	18550	2547	541	86	46526
Store 1	2016-05-24	14487	3340	526	77	40502
Store 1	2016-05-25	11840	1251	195	92	17940
Store 1	2016-05-26	15643	3534	835	112	93520
Store 1	2016-05-27	16838	2484	475	89	42275
Store 1	2016-05-28	15955	1625	217	113	24521
Store 1	2016-05-29	13782	3329	350	116	40600
Store 1	2016-05-30	13614	2171	467	91	42497
Store 1	2016-05-31	17381	3567	693	98	67914
Store 1	2016-06-01	14480	2817	516	94	48504
Store 1	2016-06-02	13742	1672	328	80	26240
Store 1	2016-06-03	15914	2603	507	124	62868
Store 1	2016-06-04	16535	3966	960	81	77760
Store 1	2016-06-05	14040	2613	407	88	35816
Store 1	2016-06-06	13640	1861	238	81	19278
Store 1	2016-06-07	16559	1829	515	85	43775
Store 1	2016-06-08	14145	2109	224	112	25088
Store 1	2016-06-09	17354	2495	250	139	34750
Store 1	2016-06-10	15121	3090	685	118	80830
Store 1	2016-06-11	12337	3029	656	82	53792
Store 1	2016-06-12	14759	2593	561	97	54417
Store 1	2016-06-13	15742	1802	495	104	51480
Store 1	2016-06-14	16643	2356	663	116	76908
Store 1	2016-06-15	17668	4184	760	92	69920
Store 1	2016-06-16	17023	2819	508	101	51308
Store 1	2016-06-17	18324	2987	825	81	66825
Store 1	2016-06-18	16708	1890	336	81	27216
Store 1	2016-06-19	13281	2391	494	102	50388
Store 1	2016-06-20	11006	1822	474	92	43608
Store 1	2016-06-21	18346	3196	831	113	93903
Store 1	2016-06-22	15723	3194	324	120	38880
Store 1	2016-06-23	16702	2866	310	116	35960
Store 1	2016-06-24	13310	2853	822	110	90420
Store 1	2016-06-25	11947	1209	328	103	33784
Store 1	2016-06-26	11713	1800	331	81	26811
Store 1	2016-06-27	16641	4107	886	75	66450
Store 1	2016-06-28	11636	2681	390	105	40950
Store 1	2016-06-29	17070	2325	503	93	46779
Store 1	2016-06-30	16831	3607	1072	117	125424
Store 1	2016-07-01	14926	2387	262	101	26462
Store 1	2016-07-02	16202	3292	619	101	62519
Store 1	2016-07-03	15029	3640	461	104	47944
Store 1	2016-07-04	16685	3547	765	118	90270
Store 1	2016-07-05	12218	2787	693	108	74844
Store 1	2016-07-06	14980	2001	419	115	48185
Store 1	2016-07-07	17825	2987	736	73	53728
Store 1	2016-07-08	14810	3007	504	115	57960
Store 1	2016-07-09	15627	2336	475	120	57000
Store 1	2016-07-10	16427	4041	1183	95	112385
Store 1	2016-07-11	13878	1458	331	80	26480
Store 1	2016-07-12	17151	1890	450	108	48600
Store 1	2016-07-13	17073	1758	456	97	44232
Store 1	2016-07-14	17921	4395	870	88	76560
Store 1	2016-07-15	17242	1816	323	108	34884
Store 1	2016-07-16	13641	3207	358	103	36874
Store 1	2016-07-17	14238	2477	621	83	51543
Store 1	2016-07-18	15307	3086	818	119	97342
Store 1	2016-07-19	17271	2565	618	85	52530
Store 1	2016-07-20	16844	2967	331	103	34093
Store 1	2016-07-21	15292	2555	458	122	55876
Store 1	2016-07-22	18192	3633	480	95	45600
Store 1	2016-07-23	10329	2046	370	104	38480
Store 1	2016-07-24	13855	2590	565	92	51980
Store 1	2016-07-25	15141	2184	248	101	25048
Store 1	2016-07-26	18517	4313	563	116	65308
Store 1	2016-07-27	15605	2064	374	89	33286
Store 1	2016-07-28	17162	4290	571	95	54245
Store 1	2016-07-29	14686	3642	642	98	62916
Store 1	2016-07-30	17342	4087	664	88	58432
Store 1	2016-07-31	15826	2436	627	102	63954
Store 1	2016-08-01	13272	2509	564	95	53580
Store 1	2016-08-02	9912	2254	499	106	52894
Store 1	2016-08-03	11405	2286	246	104	25584
Store 1	2016-08-04	15561	1888	365	100	36500
Store 1	2016-08-05	17372	3765	431	89	38359
Store 1	2016-08-06	15365	3839	760	113	85880
Store 1	2016-08-07	13523	1476	341	95	32395
Store 1	2016-08-08	15045	2712	665	125	83125
Store 1	2016-08-09	13467	3162	440	101	44440
Store 1	2016-08-10	13202	2132	546	135	73710
Store 1	2016-08-11	16811	2712	517	103	53251
Store 1	2016-08-12	14923	2748	284	109	30956
Store 1	2016-08-13	13426	1766	451	81	36531
Store 1	2016-08-14	13961	1934	474	88	41712
Store 1	2016-08-15	15483	1986	540	109	58860
Store 1	2016-08-16	17896	3234	351	102	35802
Store 1	2016-08-17	20334	4569	972	111	107892
Store 1	2016-08-18	15985	2188	324	105	34020
Store 1	2016-08-19	15717	3065	880	105	92400
Store 1	2016-08-20	15309	3458	806	107	86242
Store 1	2016-08-21	12850	3069	698	124	86552
Store 1	2016-08-22	14512	2030	240	120	28800
Store 1	2016-08-23	15988	3788	749	103	77147
Store 1	2016-08-24	16111	3516	685	112	76720
Store 1	2016-08-25	14396	1572	407	98	39886
Store 1	2016-08-26	17829	3100	667	99	66033
Store 1	2016-08-27	16369	3041	552	103	56856
Store 1	2016-08-28	14670	2961	514	117	60138
Store 1	2016-08-29	13057	2845	498	100	49800
Store 1	2016-08-30	13600	1582	283	103	29149
Store 1	2016-08-31	11184	1943	412	102	42024
Store 1	2016-09-01	18958	4209	568	106	60208
Store 1	2016-09-02	17632	3063	543	89	48327
Store 1	2016-09-03	12246	1307	205	129	26445
Store 1	2016-09-04	14396	2449	451	105	47355
Store 1	2016-09-05	14892	2677	286	67	19162
Store 1	2016-09-06	17366	2484	586	109	63874
Store 1	2016-09-07	12350	1713	423	99	41877
Store 1	2016-09-08	17022	3336	478	97	46366
Store 1	2016-09-09	14592	3518	673	112	75376
Store 1	2016-09-10	17036	2602	552	98	54096
Store 1	2016-09-11	13634	3092	917	85	77945
Store 1	2016-09-12	15295	2813	293	118	34574
Store 1	2016-09-13	14937	3224	482	124	59768
Store 1	2016-09-14	15572	3490	932	106	98792
Store 1	2016-09-15	15949	3870	727	83	60341
Store 1	2016-09-16	14108	2535	448	94	42112
Store 1	2016-09-17	13487	1499	302	117	35334
Store 1	2016-09-18	13261	2968	576	94	54144
Store 1	2016-09-19	17650	4054	1165	132	153780
Store 1	2016-09-20	16339	3377	906	109	98754
Store 1	2016-09-21	16242	2705	737	100	73700
Store 1	2016-09-22	16926	1815	226	80	18080
Store 1	2016-09-23	14096	2024	530	81	42930
Store 1	2016-09-24	13403	2657	344	114	39216
Store 1	2016-09-25	14265	3035	707	103	72821
Store 1	2016-09-26	10952	1431	265	91	24115
Store 1	2016-09-27	17044	3846	498	91	45318
Store 1	2016-09-28	17447	3361	711	108	76788
Store 1	2016-09-29	12546	1354	230	102	23460
Store 1	2016-09-30	16077	3705	682	104	70928
Store 1	2016-10-01	15806	3678	513	100	51300
Store 1	2016-10-02	15115	3665	537	100	53700
Store 1	2016-10-03	15287	3671	929	105	97545
Store 1	2016-10-04	16051	2523	476	99	47124
Store 1	2016-10-05	14466	2854	333	63	20979
Store 1	2016-10-06	15487	2780	674	114	76836
Store 1	2016-10-07	12173	2944	537	101	54237
Store 1	2016-10-08	14095	2799	469	81	37989
Store 1	2016-10-09	14692	2491	551	129	71079
Store 1	2016-10-10	18475	4476	581	97	56357
Store 1	2016-10-11	10739	1105	286	78	22308
Store 1	2016-10-12	11858	1235	243	116	28188
Store 1	2016-10-13	16593	3992	1163	111	129093
Store 1	2016-10-14	14425	2008	339	113	38307
Store 1	2016-10-15	19904	4266	992	98	97216
Store 1	2016-10-16	14624	2027	526	109	57334
Store 1	2016-10-17	13225	2490	600	99	59400
Store 1	2016-10-18	14035	3444	426	88	37488
Store 1	2016-10-19	14633	3068	362	100	36200
Store 1	2016-10-20	15077	3112	911	75	68325
Store 1	2016-10-21	16035	2370	284	96	27264
Store 1	2016-10-22	12609	1972	531	82	43542
Store 1	2016-10-23	15266	2541	718	92	66056
Store 1	2016-10-24	14800	2750	696	87	60552
Store 1	2016-10-25	16811	3634	733	91	66703
Store 1	2016-10-26	13914	2428	409	115	47035
Store 1	2016-10-27	12927	1721	452	111	50172
Store 1	2016-10-28	12752	1767	277	90	24930
Store 1	2016-10-29	13906	2762	295	120	35400
Store 1	2016-10-30	16967	2482	442	108	47736
Store 1	2016-10-31	12954	3028	398	104	41392
Store 1	2016-11-01	12100	2687	651	68	44268
Store 1	2016-11-02	13402	2451	436	104	45344
Store 1	2016-11-03	14121	1533	274	102	27948
Store 1	2016-11-04	15504	1598	430	118	50740
Store 1	2016-11-05	14021	2282	661	101	66761
Store 1	2016-11-06	13203	3012	357	118	42126
Store 1	2016-11-07	12665	2927	736	103	75808
Store 1	2016-11-08	18464	4582	938	89	83482
Store 1	2016-11-09	14970	2698	631	99	62469
Store 1	2016-11-10	13918	1527	442	94	41548
Store 1	2016-11-11	14557	1488	284	96	27264
Store 1	2016-11-12	14463	2711	454	98	44492
Store 1	2016-11-13	15453	2228	366	124	45384
Store 1	2016-11-14	13370	2246	505	138	69690
Store 1	2016-11-15	15439	1878	462	122	56364
Store 1	2016-11-16	16013	2698	515	106	54590
Store 1	2016-11-17	16647	1998	222	98	21756
Store 1	2016-11-18	18725	4031	958	121	115918
Store 1	2016-11-19	11366	2535	341	96	32736
Store 1	2016-11-20	13612	2284	629	105	66045
Store 1	2016-11-21	15090	2618	267	86	22962
Store 1	2016-11-22	15034	3068	452	112	50624
Store 1	2016-11-23	9878	2320	316	118	37288
Store 1	2016-11-24	15617	2495	690	97	66930
Store 1	2016-11-25	17732	4242	1071	103	110313
Store 1	2016-11-26	14916	3244	833	112	93296
Store 1	2016-11-27	11762	1388	307	139	42673
Store 1	2016-11-28	16433	2549	594	117	69498
Store 1	2016-11-29	16427	2144	266	100	26600
Store 1	2016-11-30	17492	2414	723	78	56394
Store 1	2016-12-01	12216	2293	600	103	61800
Store 1	2016-12-02	12595	2729	519	108	56052
Store 1	2016-12-03	11840	1570	218	84	18312
Store 1	2016-12-04	15327	2982	554	95	52630
Store 1	2016-12-05	14901	2291	609	108	65772
Store 1	2016-12-06	12982	1643	361	99	35739
Store 1	2016-12-07	16843	3672	1014	100	101400
Store 1	2016-12-08	16265	2626	709	113	80117
Store 1	2016-12-09	13014	3106	924	102	94248
Store 1	2016-12-10	12204	1699	289	113	32657
Store 1	2016-12-11	13835	1390	349	98	34202
Store 1	2016-12-12	17041	4123	477	107	51039
Store 1	2016-12-13	16131	2141	303	116	35148
Store 1	2016-12-14	16441	3175	585	127	74295
Store 1	2016-12-15	12554	2430	480	87	41760
Store 1	2016-12-16	19125	2766	615	90	55350
Store 1	2016-12-17	16604	2595	720	101	72720
Store 1	2016-12-18	12860	2813	317	94	29798
Store 1	2016-12-19	12230	1793	310	83	25730
Store 1	2016-12-20	13874	3245	579	103	59637
Store 1	2016-12-21	12893	1583	183	111	20313
Store 1	2016-12-22	13402	1915	191	74	14134
Store 1	2016-12-23	12518	3045	556	109	60604
Store 1	2016-12-24	15126	3437	522	122	63684
Store 1	2016-12-25	16838	1754	498	110	54780
Store 1	2016-12-26	13563	2835	439	89	39071
Store 1	2016-12-27	12624	1908	539	101	54439
Store 1	2016-12-28	13368	1448	338	90	30420
Store 1	2016-12-29	12526	1399	309	89	27501
Store 1	2016-12-30	13837	1943	196	99	19404
Store 1	2016-12-31	14193	2780	607	104	63128
Store 1	2017-01-01	17544	2463	384	113	43392
Store 1	2017-01-02	14202	2152	383	94	36002
Store 1	2017-01-03	13642	2706	729	95	69255
Store 1	2017-01-04	17407	3101	316	98	30968
Store 1	2017-01-05	11440	2794	385	105	40425
Store 1	2017-01-06	13094	1805	402	91	36582
Store 1	2017-01-07	15747	3031	693	87	60291
Store 1	2017-01-08	12661	2324	563	111	62493
Store 1	2017-01-09	15942	2939	714	111	79254
Store 1	2017-01-10	13940	1551	196	100	19600
Store 1	2017-01-11	13801	2944	589	102	60078
Store 1	2017-01-12	13793	2102	542	113	61246
Store 1	2017-01-13	14399	2698	577	103	59431
Store 1	2017-01-14	15543	2051	564	75	42300
Store 1	2017-01-15	12820	2708	501	90	45090
Store 1	2017-01-16	14914	2476	648	99	64152
Store 1	2017-01-17	14892	2362	279	114	31806
Store 1	2017-01-18	17395	3536	482	81	39042
Store 1	2017-01-19	15315	3463	1036	88	91168
Store 1	2017-01-20	13290	2165	533	114	60762
Store 1	2017-01-21	11661	1283	310	100	31000
Store 1	2017-01-22	13777	1725	301	94	28294
Store 1	2017-01-23	13032	1875	258	123	31734
Store 1	2017-01-24	19870	4550	1027	97	99619
Store 1	2017-01-25	14161	1516	277	136	37672
Store 1	2017-01-26	17871	4121	547	126	68922
Store 1	2017-01-27	15351	3223	457	100	45700
Store 1	2017-01-28	14591	2724	323	103	33269
Store 1	2017-01-29	15309	2523	534	89	47526
Store 1	2017-01-30	11263	2369	274	85	23290
Store 1	2017-01-31	15252	2538	420	96	40320
Store 1	2017-02-01	13297	2076	225	95	21375
Store 1	2017-02-02	14945	3046	795	108	85860
Store 1	2017-02-03	13955	3033	896	125	112000
Store 1	2017-02-04	11368	1768	445	92	40940
Store 1	2017-02-05	16793	3305	671	90	60390
Store 1	2017-02-06	15714	3826	897	60	53820
Store 1	2017-02-07	15132	3238	632	88	55616
Store 1	2017-02-08	14978	2811	327	100	32700
Store 1	2017-02-09	14635	2010	380	86	32680
Store 1	2017-02-10	15189	3164	709	129	91461
Store 1	2017-02-11	13654	2772	488	75	36600
Store 1	2017-02-12	16893	3684	548	77	42196
Store 1	2017-02-13	15602	2080	347	88	30536
Store 1	2017-02-14	14671	2294	531	75	39825
Store 1	2017-02-15	14053	1881	345	116	40020
Store 1	2017-02-16	16214	1691	458	84	38472
Store 1	2017-02-17	14322	3527	1039	96	99744
Store 1	2017-02-18	15016	2159	375	71	26625
Store 1	2017-02-19	17245	2796	649	109	70741
Store 1	2017-02-20	12410	2377	652	90	58680
Store 1	2017-02-21	16615	3864	1053	68	71604
Store 1	2017-02-22	15825	3057	398	105	41790
Store 1	2017-02-23	16934	2482	515	84	43260
Store 1	2017-02-24	13742	2461	721	126	90846
Store 1	2017-02-25	15047	3569	419	77	32263
Store 1	2017-02-26	16451	2999	339	74	25086
Store 1	2017-02-27	15690	3770	712	123	87576
Store 1	2017-02-28	14675	2409	514	87	44718
Store 1	2017-03-01	13391	2016	245	88	21560
Store 1	2017-03-02	14010	2873	856	89	76184
Store 1	2017-03-03	15649	2999	712	107	76184
Store 1	2017-03-04	12294	2304	482	97	46754
Store 1	2017-03-05	16941	2869	838	94	78772
Store 1	2017-03-06	15035	3108	686	106	72716
Store 1	2017-03-07	18456	2500	420	69	28980
Store 1	2017-03-08	14456	2111	238	96	22848
Store 1	2017-03-09	15167	1817	351	112	39312
Store 1	2017-03-10	12085	2945	458	86	39388
Store 1	2017-03-11	15489	3110	917	103	94451
Store 1	2017-03-12	18720	4018	547	106	57982
Store 1	2017-03-13	13852	1874	323	108	34884
Store 1	2017-03-14	14190	2974	836	97	81092
Store 1	2017-03-15	15007	3341	557	92	51244
Store 1	2017-03-16	20285	3478	555	115	63825
Store 1	2017-03-17	13128	1408	356	98	34888
Store 1	2017-03-18	13190	2698	594	118	70092
Store 1	2017-03-19	11586	1778	438	78	34164
Store 1	2017-03-20	13439	2593	711	85	60435
Store 1	2017-03-21	14138	2430	579	82	47478
Store 1	2017-03-22	13473	1403	256	110	28160
Store 1	2017-03-23	15441	2504	355	104	36920
Store 1	2017-03-24	11712	1769	472	116	54752
Store 1	2017-03-25	16444	2505	573	108	61884
Store 1	2017-03-26	15735	2249	576	100	57600
Store 1	2017-03-27	16917	3347	693	89	61677
Store 1	2017-03-28	17273	2239	574	93	53382
Store 1	2017-03-29	10097	1834	533	114	60762
Store 1	2017-03-30	16723	2535	751	98	73598
Store 1	2017-03-31	19411	2801	568	111	63048
Store 1	2017-04-01	16395	3510	538	103	55414
Store 1	2017-04-02	14140	1672	281	92	25852
Store 1	2017-04-03	13604	2893	515	105	54075
Store 1	2017-04-04	13957	2980	613	105	64365
Store 1	2017-04-05	13720	2657	413	96	39648
Store 1	2017-04-06	15529	3333	845	112	94640
Store 1	2017-04-07	15520	3573	840	96	80640
Store 1	2017-04-08	15631	3521	884	100	88400
Store 1	2017-04-09	14968	2075	586	84	49224
Store 1	2017-04-10	12959	3177	493	93	45849
Store 1	2017-04-11	14566	1971	437	114	49818
Store 1	2017-04-12	16509	1828	291	92	26772
Store 1	2017-04-13	13258	2267	355	98	34790
Store 1	2017-04-14	13448	1886	544	117	63648
Store 1	2017-04-15	15248	3679	765	108	82620
Store 1	2017-04-16	12423	1566	420	46	19320
Store 1	2017-04-17	15148	2263	407	71	28897
Store 1	2017-04-18	13591	3057	880	83	73040
Store 1	2017-04-19	15364	3270	373	107	39911
Store 1	2017-04-20	15520	2096	491	107	52537
Store 1	2017-04-21	15162	2415	713	111	79143
Store 1	2017-04-22	17990	3953	1120	93	104160
Store 1	2017-04-23	13311	2535	718	105	75390
Store 1	2017-04-24	13051	2620	263	122	32086
Store 1	2017-04-25	15446	1977	386	98	37828
Store 1	2017-04-26	14456	2663	728	101	73528
Store 1	2017-04-27	15893	1743	473	114	53922
Store 1	2017-04-28	12497	1590	429	54	23166
Store 1	2017-04-29	14239	3450	920	106	97520
Store 1	2017-04-30	14295	2484	655	107	70085
Store 1	2017-05-01	15357	3805	1070	101	108070
Store 1	2017-05-02	13817	1748	427	120	51240
Store 1	2017-05-03	15360	1620	183	79	14457
Store 1	2017-05-04	17898	2996	326	104	33904
Store 1	2017-05-05	17003	2479	617	76	46892
Store 1	2017-05-06	16480	2413	411	119	48909
Store 1	2017-05-07	17678	2596	533	91	48503
Store 1	2017-05-08	13305	1657	443	68	30124
Store 1	2017-05-09	18093	3674	687	75	51525
Store 1	2017-05-10	13170	1429	337	96	32352
Store 1	2017-05-11	15193	2726	732	107	78324
Store 1	2017-05-12	16686	3498	593	86	50998
Store 1	2017-05-13	17312	3111	912	102	93024
Store 1	2017-05-14	11691	1819	404	96	38784
Store 1	2017-05-15	18402	4320	1039	115	119485
Store 1	2017-05-16	20497	2998	486	91	44226
Store 1	2017-05-17	12935	2545	718	100	71800
Store 1	2017-05-18	16515	2274	488	112	54656
Store 1	2017-05-19	14247	1617	206	89	18334
Store 1	2017-05-20	14611	3211	325	123	39975
Store 1	2017-05-21	12319	2501	434	104	45136
Store 1	2017-05-22	17813	1785	452	100	45200
Store 1	2017-05-23	14037	1669	227	103	23381
Store 1	2017-05-24	14208	2049	481	93	44733
Store 1	2017-05-25	14882	3531	1050	71	74550
Store 1	2017-05-26	16228	2206	354	91	32214
Store 1	2017-05-27	15182	2897	712	102	72624
Store 1	2017-05-28	13783	3132	510	100	51000
Store 1	2017-05-29	15792	3404	702	101	70902
Store 1	2017-05-30	15621	3761	863	98	84574
Store 1	2017-05-31	13501	2986	742	116	86072
Store 1	2017-06-01	15648	2889	794	91	72254
Store 1	2017-06-02	14100	2120	375	93	34875
Store 1	2017-06-03	15219	2349	277	121	33517
Store 1	2017-06-04	15171	2796	639	83	53037
Store 1	2017-06-05	14715	2765	626	92	57592
Store 1	2017-06-06	15270	2623	581	90	52290
Store 1	2017-06-07	13098	3195	519	92	47748
Store 1	2017-06-08	14825	3513	582	116	67512
Store 1	2017-06-09	17708	2848	337	108	36396
Store 1	2017-06-10	16450	3303	659	102	67218
Store 1	2017-06-11	16596	2146	574	105	60270
Store 1	2017-06-12	12401	2959	394	104	40976
Store 1	2017-06-13	11681	1187	170	97	16490
Store 1	2017-06-14	14272	1865	540	105	56700
Store 1	2017-06-15	16946	2333	632	77	48664
Store 1	2017-06-16	16726	3082	536	87	46632
Store 1	2017-06-17	15372	2412	677	85	57545
Store 1	2017-06-18	17125	2255	610	115	70150
Store 1	2017-06-19	16582	3173	906	108	97848
Store 1	2017-06-20	14392	3395	948	75	71100
Store 1	2017-06-21	15144	3117	409	87	35583
Store 1	2017-06-22	17039	2442	379	131	49649
Store 1	2017-06-23	14699	2167	422	79	33338
Store 1	2017-06-24	16758	2522	467	103	48101
Store 1	2017-06-25	11928	1882	437	101	44137
Store 1	2017-06-26	15252	2438	476	79	37604
Store 1	2017-06-27	13721	2165	434	91	39494
Store 1	2017-06-28	14071	1573	316	108	34128
Store 1	2017-06-29	16892	3785	460	90	41400
Store 1	2017-06-30	17517	1977	208	120	24960
Store 1	2017-07-01	14727	2073	582	113	65766
Store 1	2017-07-02	12002	1688	410	69	28290
Store 1	2017-07-03	16764	3952	1121	82	91922
Store 1	2017-07-04	15183	2358	341	117	39897
Store 1	2017-07-05	15149	3408	701	93	65193
Store 1	2017-07-06	13584	1611	424	84	35616
Store 1	2017-07-07	11759	1763	458	101	46258
Store 1	2017-07-08	14185	1737	397	79	31363
Store 1	2017-07-09	13927	3007	899	95	85405
Store 1	2017-07-10	16537	4103	868	95	82460
