_id,_class,tenantId,storeId,storeName,timeZone,deviceId,deviceName,eventStartDateTime,eventEndDateTime,menuName,menuId,className,modelName,deviceType,pathId,pathName
ObjectId(5b3cf3016e249a60dd0d6128),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-04T16:16:52,2018-07-04T16:16:52,Accessories,5b1bbc57c066fc1c01f6a9ca,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9ca,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Accessories
ObjectId(5b3cf2cc6e249a60dd0d6116),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-04T16:13:50,2018-07-04T16:16:12,Lifestyle,5b1bbc586e249a1be885f512,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f512,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Lifestyle
ObjectId(5b3cf2cc6e249a60dd0d6115),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-04T16:13:44,2018-07-04T16:13:50,Trims,5b335c4bc066fc3f8a80d56b,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b226f816e249a423789028c>5b335c4bc066fc3f8a80d56b,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Features>Trims
ObjectId(5b3cf2cc6e249a60dd0d6114),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-04T16:13:13,2018-07-04T16:13:44,Lifestyle,5b1bbc586e249a1be885f512,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f512,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Lifestyle
ObjectId(5b3cdc70c066fc678f419249),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-04T14:37:55,2018-07-04T14:40:48,USED CARS,5b3826b66e249a32f5db4c7f,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b66e249a32f5db4c7f,Podium>USED CARS
ObjectId(5b3cd8d8c066fc678f410b35),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-04T14:18:17,2018-07-04T14:25:28,USED CARS,5b3826b66e249a32f5db4c7f,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b66e249a32f5db4c7f,Podium>USED CARS
ObjectId(5b3cf2cc6e249a60dd0d6113),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-04T10:57:31,2018-07-04T10:59:47,Lifestyle,5b1bbc586e249a1be885f512,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f512,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Lifestyle
ObjectId(5b3ca0e6c066fc678f36c505),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-04T10:24:42,2018-07-04T10:26:46,Trims,5b335c4bc066fc3f8a80d56b,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b226f816e249a423789028c>5b335c4bc066fc3f8a80d56b,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Features>Trims
ObjectId(5b3ca0e6c066fc678f36c504),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-04T10:24:27,2018-07-04T10:24:42,Accessories,5b1bbc57c066fc1c01f6a9ca,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9ca,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Accessories
ObjectId(5b3ca0e6c066fc678f36c503),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-04T10:24:17,2018-07-04T10:24:27,Lifestyle,5b1bbc586e249a1be885f512,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f512,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Lifestyle
ObjectId(5b3cd8d8c066fc678f410b34),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-04T09:03:48,2018-07-04T09:06:11,Visualiser,5b3826bb6e249a32f5db4c98,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b6c066fc3a72292332>5b3826b7c066fc3a72292337>5b3826b96e249a32f5db4c8a>5b3826bb6e249a32f5db4c98,Podium>NEW CARS>Choose Your Model>CORSA 3-DOOR>Visualiser
ObjectId(5b3c8bb8c066fc678f3496e6),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-04T08:53:01,2018-07-04T08:56:24,USED CARS,5b3826b66e249a32f5db4c7f,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b66e249a32f5db4c7f,Podium>USED CARS
ObjectId(5b3ca0e6c066fc678f36c502),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:56:46,2018-07-03T10:58:47,Lifestyle,5b1bbc586e249a1be885f512,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f512,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Lifestyle
ObjectId(5b3b56e86e249a60ddd5e6e8),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:56:25,2018-07-03T10:56:28,Lifestyle,5b1bbc586e249a1be885f512,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f512,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Lifestyle
ObjectId(5b3b56566e249a60ddd5cfa3),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:56:18,2018-07-03T10:56:21,Lifestyle,5b1bbc586e249a1be885f512,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f512,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Lifestyle
ObjectId(5b3b56566e249a60ddd5cfa2),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:56:11,2018-07-03T10:56:15,Lifestyle,5b1bbc586e249a1be885f512,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f512,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Lifestyle
ObjectId(5b3b5638c066fc678f0b51a9),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:55:47,2018-07-03T10:55:52,Lifestyle,5b1bbc586e249a1be885f512,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f512,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Lifestyle
ObjectId(5b3b5638c066fc678f0b51a8),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:55:45,2018-07-03T10:55:47,Trims,5b335c4bc066fc3f8a80d56b,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b226f816e249a423789028c>5b335c4bc066fc3f8a80d56b,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Features>Trims
ObjectId(5b3b5638c066fc678f0b51a7),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:55:25,2018-07-03T10:55:45,Accessories,5b1bbc57c066fc1c01f6a9ca,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9ca,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Accessories
ObjectId(5b3b5638c066fc678f0b51a6),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:55:19,2018-07-03T10:55:25,Trims,5b335c4bc066fc3f8a80d56b,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b226f816e249a423789028c>5b335c4bc066fc3f8a80d56b,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Features>Trims
ObjectId(5b3b5638c066fc678f0b51a5),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:55:10,2018-07-03T10:55:19,Lifestyle,5b1bbc586e249a1be885f512,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f512,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Lifestyle
ObjectId(5b3b5638c066fc678f0b51a4),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:54:18,2018-07-03T10:54:49,Trims,5b335c4bc066fc3f8a80d56b,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b226f816e249a423789028c>5b335c4bc066fc3f8a80d56b,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Features>Trims
ObjectId(5b3b55fa6e249a60ddd5b875),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:54:16,2018-07-03T10:54:18,Accessories,5b1bbc57c066fc1c01f6a9ca,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9ca,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Accessories
ObjectId(5b3b55fa6e249a60ddd5b874),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:54:13,2018-07-03T10:54:16,Lifestyle,5b1bbc586e249a1be885f512,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f512,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Lifestyle
ObjectId(5b3b55d36e249a60ddd5b86a),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:54:04,2018-07-03T10:54:11,Accessories,5b1bbc57c066fc1c01f6a9ca,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9ca,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Accessories
ObjectId(5b3b55d36e249a60ddd5b869),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:53:44,2018-07-03T10:54:04,Videos,5b335c5cc066fc3f8a80d56c,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b226f816e249a423789028c>5b335c5cc066fc3f8a80d56c,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Features>Videos
ObjectId(5b3b55d36e249a60ddd5b868),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:52:32,2018-07-03T10:53:44,Trims,5b335c4bc066fc3f8a80d56b,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b226f816e249a423789028c>5b335c4bc066fc3f8a80d56b,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Features>Trims
ObjectId(5b3b55d36e249a60ddd5b867),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:52:20,2018-07-03T10:52:32,Trims,5b1bbc586e249a1be885f513,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f513,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Trims
ObjectId(5b3b55d36e249a60ddd5b866),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363165c066fc5d7b5add31,BTCS,2018-07-03T10:52:13,2018-07-03T10:52:20,Lifestyle,5b1bbc586e249a1be885f512,CARS,GRANDLAND X,LFD-WIN-IP-C,5b1bb767c066fc1c01f6a8da>5b1bbc55c066fc1c01f6a9a0>5b1bbc56c066fc1c01f6a9a4>5b1bbc56c066fc1c01f6a9aa>5b1bbc57c066fc1c01f6a9d6>5b1bbc586e249a1be885f512,CarDataStand>CARS>GRANDLAND X>NEW GRANDLAND X>Brochure>Lifestyle
ObjectId(5b3c8bb8c066fc678f3496e5),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-03T10:02:30,2018-07-03T10:04:43,Visualiser,5b3826bbc066fc3a7229234e,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b6c066fc3a72292332>5b3826b7c066fc3a72292337>5b3826b96e249a32f5db4c89>5b3826bbc066fc3a7229234e,Podium>NEW CARS>Choose Your Model>MOKKA X>Visualiser
ObjectId(5b3b3fd76e249a60ddd41bc8),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-03T09:19:43,2018-07-03T09:20:23,USED CARS,5b3826b66e249a32f5db4c7f,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b66e249a32f5db4c7f,Podium>USED CARS
ObjectId(5b3b3fd76e249a60ddd41bc7),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-03T09:19:13,2018-07-03T09:19:41,USED CARS,5b3826b66e249a32f5db4c7f,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b66e249a32f5db4c7f,Podium>USED CARS
ObjectId(5b3b3f81c066fc678f08d76b),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-03T09:18:51,2018-07-03T09:18:56,USED CARS,5b3826b66e249a32f5db4c7f,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b66e249a32f5db4c7f,Podium>USED CARS
ObjectId(5b3b3f81c066fc678f08d76a),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-03T09:18:48,2018-07-03T09:18:49,Insurance,5b3826b76e249a32f5db4c81,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b6c066fc3a72292333>5b3826b76e249a32f5db4c81,Podium>OWNERSHIP>Insurance
ObjectId(5b3b3f81c066fc678f08d769),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-03T09:18:43,2018-07-03T09:18:48,Service Club,5b3826b7c066fc3a72292335,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b6c066fc3a72292333>5b3826b7c066fc3a72292335,Podium>OWNERSHIP>Service Club
ObjectId(5b3b3f81c066fc678f08d768),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-03T09:18:37,2018-07-03T09:18:43,HELP ME CHOOSE,5b3826b66e249a32f5db4c80,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b66e249a32f5db4c80,Podium>HELP ME CHOOSE
ObjectId(5b3b3f81c066fc678f08d767),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-03T09:18:32,2018-07-03T09:18:36,Visualizer,5b3826bb6e249a32f5db4c99,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b6c066fc3a72292332>5b3826b7c066fc3a72292337>5b3826b9c066fc3a7229233d>5b3826bb6e249a32f5db4c99,Podium>NEW CARS>Choose Your Model>ASTRA HATCHBACK>Visualizer
ObjectId(5b3a4a8a6e249a60ddc368c4),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-02T15:51:24,2018-07-02T15:53:45,Visualizer,5b3826bb6e249a32f5db4c9f,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b6c066fc3a72292332>5b3826b7c066fc3a72292337>5b3826b9c066fc3a7229233b>5b3826bb6e249a32f5db4c9f,Podium>NEW CARS>Choose Your Model>NEW GRANDLAND X>Visualizer
ObjectId(5b3a4a8a6e249a60ddc368c3),com.samsung.sds.nexshop.report.model.TouchLog,5,18,Leicester,Europe/London,5b363ac46e249a600c3acf37,Podium,2018-07-02T15:51:11,2018-07-02T15:51:17,Visualizer,5b3826bbc066fc3a72292345,,,LFD-WIN-IP-P,5b3826b66e249a32f5db4c7e>5b3826b6c066fc3a72292332>5b3826b7c066fc3a72292337>5b3826b9c066fc3a7229233a>5b3826bbc066fc3a72292345,Podium>NEW CARS>Choose Your Model>EXCLUSIVE>Visualizer
